Date of Sale,Price,Address,City,State,Country
25/01/2018,550000,"4 THE GROVE, GRIFFITH DOWNS, DRUMCONDRA, Dublin 9",Dublin,Leinster,Ireland
29/03/2018,300000,"1 GLENWOOD RD, RAHENY, DUBLIN 5, Dublin 5",Dublin,Leinster,Ireland
29/03/2018,545000,"10 BROOKWOOD PARK, KILLESTER, DUBLIN 5, Dublin 5",Dublin,Leinster,Ireland
29/03/2018,560000,"11 LOUGHSHINNY BAY, LOUGHSHINNY, SKERRIES",Dublin,Leinster,Ireland
29/03/2018,615000,"15 ROSMEEN GARDENS, DUN LAOGHAIRE, DUBLIN",Dublin,Leinster,Ireland
29/03/2018,335000,"38 THE ATRIUM, THE STEELWORKS, FOLEY ST DUBLIN 1, Dublin 1",Dublin,Leinster,Ireland
29/03/2018,273128,"68 Ballygossan Park, Golf Links Road, Skerries",Dublin,Leinster,Ireland
29/03/2018,220000,"7 DARGLE DR, MARLEY GRANGE, RATHFARNHAM DUBLIN 16, Dublin 16",Dublin,Leinster,Ireland
29/03/2018,595000,"8 DONORE RD, DUBLIN 8, DUBLIN, Dublin 8",Dublin,Leinster,Ireland
29/03/2018,540000,"8 SEABURY DR, MALAHIDE, DUBLIN",Dublin,Leinster,Ireland
29/03/2018,880000,"AGHADOE, 72 GREENLEA RD, TERENURE DUBLIN 6W",Dublin,Leinster,Ireland
29/03/2018,800000,"FLAT 1 39 VICTORIA ST, PORTOBELLO, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
28/03/2018,415000,"10 MERRION WOODS, STILLORGAN RD, BOOTERSTOWN",Dublin,Leinster,Ireland
28/03/2018,525110,"12 Orwell Place, Block B, Marianella, Dublin 6",Dublin,Leinster,Ireland
28/03/2018,480000,"26 THE AVENUE, SCHOLARSTOWN WOOD, SCHOLARSTOWN, Dublin 16",Dublin,Leinster,Ireland
28/03/2018,502202.64,"30 Orwell Place, Block B, Marianella, Dublin 6",Dublin,Leinster,Ireland
28/03/2018,339207,"33 The Avenue, Hansfield Wood, Hansfield, Dublin 15",Dublin,Leinster,Ireland
28/03/2018,621145,"5 Orwell Place, Marianella, Rathgar, Dublin 6",Dublin,Leinster,Ireland
28/03/2018,270000,"6 WINDMILL COURT, PORTERSTOWN, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
28/03/2018,345000,"7 ELLENSBOROUGH CLOSE, KILLTIPPER RD, TALLAGHT, Dublin 24",Dublin,Leinster,Ireland
27/03/2018,273127.75,"15 Citywest Avenue, Cuil Duin, Citywest, Dublin 24",Dublin,Leinster,Ireland
27/03/2018,635000,"20 DONNYBROOK MANOR, DONNYBROOK, DUBLIN 4, Dublin 4",Dublin,Leinster,Ireland
27/03/2018,875000,"35 HOLLYBROOK, BRIGHTON RD, FOXROCK DUBLIN 18, Dublin 18",Dublin,Leinster,Ireland
27/03/2018,295154.19,"42 Hamilton Hill, Barnageeragh Cove, Skerries",Dublin,Leinster,Ireland
27/03/2018,325990,"6 Shackleton Close, Lucan",Dublin,Leinster,Ireland
23/03/2018,87000,"44 PARSLICKSTOWN GREEN, MULHUDDART, DUBLIN15, Dublin 15",Dublin,Leinster,Ireland
23/03/2018,572687,"5 Somerton Mews, Castleknock, Dublin 15, Dublin 15",Dublin,Leinster,Ireland
21/03/2018,392070,"14 Dawson Place, Arbour Hill, Dublin 7, Dublin 7",Dublin,Leinster,Ireland
21/03/2018,215000,"195 EMMET RD, INCHICORE, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
20/03/2018,682818.7,"2 Orwell Place, Block B, Marianella",Dublin,Leinster,Ireland
20/03/2018,376000,"34 KILLINEY TOWERS, KILLINEY RD, DALKEY",Dublin,Leinster,Ireland
16/03/2018,726872,"16 Castleknock Cross, Castleknock, Dublin 15, Dublin 15",Dublin,Leinster,Ireland
16/03/2018,203000,"78 FORTLAWN DR, BLANCHARDSTOWN, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
15/03/2018,462500,"4 GLENCAIRN GROVE, THE GALLOPS, LEOPARDSTOWN DUBLIN 18, Dublin 18",Dublin,Leinster,Ireland
14/03/2018,358000,"43 INNISMORE, CRUMLIN VILLAGE, DUBLIN 12, Dublin 12",Dublin,Leinster,Ireland
13/03/2018,410000,"112 OXMANTOWN RD, DUBLIN 7, DUBLIN, Dublin 7",Dublin,Leinster,Ireland
12/03/2018,1130000,"APT 1-8, 3 WAVERLEY TERRACE, KENILWORTH SQ NORTH, Dublin 6",Dublin,Leinster,Ireland
09/03/2018,243000,"35 NEWCASTLE MANOR SQ, NEWCASTLE, DUBLIN, Dublin 22",Dublin,Leinster,Ireland
08/03/2018,484572.68,"24 The Lawn, St Marnock's Bay, Portmarnock",Dublin,Leinster,Ireland
08/03/2018,281938.32,"3 Cuil Duin Walk, Cuil Duin, Citywest, Dublin 24",Dublin,Leinster,Ireland
07/03/2018,650000,"49 BELFIELD PARK, STILLORGAN RD, MOUNT MERRION",Dublin,Leinster,Ireland
06/03/2018,639000,"105 CHURCH AVE, SANTRY, DUBLIN 9, Dublin 9",Dublin,Leinster,Ireland
06/03/2018,420000,"54 PORTOBELLO HARBOUR, GROVE RD, DUBLIN 6, Dublin 6",Dublin,Leinster,Ireland
23/02/2018,321000,"66 BRIARFIELD RD, KILBARRACK, DUBLIN 5, Dublin 5",Dublin,Leinster,Ireland
22/02/2018,1754155,"HOLY FAITH CONVENT, ST BRIGID'S ROAD, KILLESTER, Dublin 5",Dublin,Leinster,Ireland
21/02/2018,440528,"16 The Rise, St Marnock's Bay",Dublin,Leinster,Ireland
21/02/2018,260000,"4 WOODVIEW, BALROTHERY, BALBRIGGAN",Dublin,Leinster,Ireland
19/02/2018,485000,"24 HADDINGTON SQ, HADDINGTON RD, BALLSBRIDGE DUBLIN 4, Dublin 4",Dublin,Leinster,Ireland
19/02/2018,170000,"APT 27, MOYLARAGH RISE, BALBRIGGAN",Dublin,Leinster,Ireland
14/02/2018,330000,"16 OLD BAWN WAY, OLD BAWN, TALLAGHT DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
14/02/2018,590308.37,"2 Harold Terrace, Harold Crescent, Glasthule",Dublin,Leinster,Ireland
29/03/2018,268000,"1 DUN EMER DR, LUSK, DUBLIN",Dublin,Leinster,Ireland
29/03/2018,318877,"32 Parkside Cresent, Parkside, Malahide Road",Dublin,Leinster,Ireland
29/03/2018,490000,"36 SHANLISS RD, SANTRY, DUBLIN 9, Dublin 9",Dublin,Leinster,Ireland
28/03/2018,300000,"12 BELFRY WAY, CITY WEST RD, DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
28/03/2018,333920,"17 Rathmill Green, Rathmill Manor, Rathcoole",Dublin,Leinster,Ireland
28/03/2018,455000,"1A MONTROSE CRESCENT, ARTANE, DUBLIN 5, Dublin 5",Dublin,Leinster,Ireland
28/03/2018,344000,"2 GREAT WESTERN SQ, PHIBSBOROUGH, DUBLIN 7, Dublin 7",Dublin,Leinster,Ireland
28/03/2018,165000,"25 Birch House, Silverbanks The Coast, Baldoyle, Dublin 13",Dublin,Leinster,Ireland
28/03/2018,160000,"27 Birch House, Silverbanks The Coast, Baldoyle",Dublin,Leinster,Ireland
28/03/2018,255000,"93 Ash House, Silverbanks The Coast, Baldoyle, Dublin 13",Dublin,Leinster,Ireland
28/03/2018,200000,"MEEGANS FARMHOUSE, MEEGANS LANE, SAGGART, Dublin 24",Dublin,Leinster,Ireland
28/03/2018,1050000,"SHADEY LANE, MILVERTON, SKERRIES",Dublin,Leinster,Ireland
27/03/2018,590000,"1 ACORN RD, DUNDRUM, DUBLIN 14, Dublin 16",Dublin,Leinster,Ireland
27/03/2018,240000,"32 CANON HALL, CHURCH ST EAST, DUBLIN 3, Dublin 3",Dublin,Leinster,Ireland
27/03/2018,398000,"37 KIMMAGE GROVE, KIMMAGE, DUBLIN 6W",Dublin,Leinster,Ireland
27/03/2018,418502.2,"8 The Drive, St Marnock's bay, Portmarnock",Dublin,Leinster,Ireland
27/03/2018,158590,"Apartment 47 Sycamore House, Silverbanks, Baldoyle",Dublin,Leinster,Ireland
27/03/2018,484581.49,"Unit 27, Orwell Place, Marianella, Dublin 6",Dublin,Leinster,Ireland
26/03/2018,259911.89,"30 RED ARCHES PARK, SILVERBANKS, BALDOYLE, Dublin 13",Dublin,Leinster,Ireland
26/03/2018,188500,"APT 8, HEADFORT COURT, 36 37 HILL ST DUBLIN 1, Dublin 1",Dublin,Leinster,Ireland
23/03/2018,270000,"10 MELLOWES CRESCENT, FINGLAS WEST DUBLIN 11, DUBLIN, Dublin 11",Dublin,Leinster,Ireland
23/03/2018,260000,"39 BOROIMHE BEECH, SWORDS, DUBLIN",Dublin,Leinster,Ireland
23/03/2018,305000,"49 THE COURT, LARCH HILL, OSCARTRAYNOR RD SANTRY, Dublin 17",Dublin,Leinster,Ireland
23/03/2018,625000,"KNOCK, BALBRIGGAN, DUBLIN",Dublin,Leinster,Ireland
21/03/2018,242000,"103 WHITESTOWN AVENUE, BLANCHARDSTOWN, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,189888,"1 COMPASS COURT SOUTH, ROYAL CANAL PARK, ASHTOWN DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,185280,"1 LANDALE LAWNS, TALLAGHT, DUBLIN 24",Dublin,Leinster,Ireland
20/03/2018,168656,"10 THE ACADEMY BUILDING, PARKWEST POINTE, DUBLIN 12",Dublin,Leinster,Ireland
20/03/2018,155682,"16 HOLYWEL GREEN, FELTRIM, SWORDS",Dublin,Leinster,Ireland
20/03/2018,165033,"223 THE CRESCENT BUILDING, PARK WEST POINTE, DUBLIN 12",Dublin,Leinster,Ireland
20/03/2018,332122,"47 CRESTFIELD AVE, WHITEHALL, DUBLIN 9, Dublin 9",Dublin,Leinster,Ireland
20/03/2018,227719,"55 MARLBOROUGH MEWS, NORTH CIRCULAR RD, DUBLIN 7, Dublin 7",Dublin,Leinster,Ireland
20/03/2018,165007,"88 THE CRESCENT BUILDING, PARK WEST POINT, CLONDALKIN",Dublin,Leinster,Ireland
20/03/2018,177923,"97 MAIN ST, APPLE WOOD, SWORDS, Dublin 20",Dublin,Leinster,Ireland
20/03/2018,925000,"Rear of 34/35 Upper Gardiner Street, Dublin 1, Dublin 1",Dublin,Leinster,Ireland
16/03/2018,480010,"16 The Drive, St Marnock's Bay, Station Road",Dublin,Leinster,Ireland
16/03/2018,265000,"7 TULLYHALL WAY, LUCAN, DUBLIN",Dublin,Leinster,Ireland
16/03/2018,640000,"70 STILLORGAN HEATH, STILLORGAN, DUBLIN",Dublin,Leinster,Ireland
16/03/2018,417050,"BLOCK C, 58 ADELAIDE SQ, WHITEFRIAR ST, Dublin 8",Dublin,Leinster,Ireland
15/03/2018,380000,"383 MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,Leinster,Ireland
13/03/2018,682820,"4 Knockrabo Court, Mount Anville Road, Dublin 14",Dublin,Leinster,Ireland
09/03/2018,328000,"112 LISMORE RD, KIMMAGE, DUBLIN 12, Dublin 12",Dublin,Leinster,Ireland
09/03/2018,350000,"2 CRINKEN VILLAS, SHANKILL, CO DUBLIN, Dublin 18",Dublin,Leinster,Ireland
07/03/2018,259911,"24 Cuil Duin Avenue, Cuil Duin, Citywest",Dublin,Leinster,Ireland
06/03/2018,275000,"144 IVY COURT, BEAUMONT WOODS, BEAUMONT, Dublin 9",Dublin,Leinster,Ireland
06/03/2018,455000,"455 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
05/03/2018,220000,"96A ST IGNATIUS RD, DORSET ST, DUBLIN 1, Dublin 15",Dublin,Leinster,Ireland
28/02/2018,63487,"EASTMOUNT COTTAGE, KNAPTON RD, DUN LAOGHAIRE",Dublin,Leinster,Ireland
26/02/2018,332000,"7 MONTROSE AVE, ARTANE, DUBLIN 5, Dublin 5",Dublin,Leinster,Ireland
23/02/2018,190000,"APT 5 PEMBROKE MANOR, 64 TO 66 PEMBROKE RD, DUBLIN 4, Dublin 4",Dublin,Leinster,Ireland
29/03/2018,281938.33,"18 Shackleton Way, Shackleton Park, Lucan",Dublin,Leinster,Ireland
28/03/2018,422907.49,"125A MALAHIDE ROAD, DONNYCARNEY, DUBLIN 3",Dublin,Leinster,Ireland
28/03/2018,332000,"17 KILVERE PARK, CYPRESS DOWNS, DUBLIN 6W",Dublin,Leinster,Ireland
28/03/2018,541850,"190A Collins Avenue, Beaumont, Dublin 9",Dublin,Leinster,Ireland
28/03/2018,303500,"22 LOHUNDA PARK, CLONSILLA, DUBLIN 15",Dublin,Leinster,Ireland
28/03/2018,540000,"24 WOODLAWN PARK, MOUNTTOWN, DUN LAOGHAIRE",Dublin,Leinster,Ireland
28/03/2018,975000,"32 HYDE PARK, DALKEY, DUBLIN",Dublin,Leinster,Ireland
28/03/2018,235000,"35 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
28/03/2018,230000,"4 WOODFORD PARADE, CLONDALKIN, DUBLIN 22, Dublin 22",Dublin,Leinster,Ireland
